SampleDepth;cN;cC;C.N.ratio;North;East
0;1.27;40.8;32.1;7132177.652;735080.94
0;1.38;51.72;37.5;7135682.348;730172.836
0;0.71;26.18;36.9;7138137.463;733332.384
0;1.01;46.91;46.4;7137083.991;733337.561
0;1.15;37.97;33;7137432.458;735081.485
0;1.29;47.91;37.1;7129731.898;733327.195
0;1.03;46.31;45;7134987.413;732279.374
0;0.8;26.49;33.1;7131130.178;736130.255
0;0.9;32.06;35.6;7132886.207;736127.745
0;0.79;33.73;42.7;7134272.809;728779.12
0;0.91;50.9;55.9;7130082.7;730176.519
0;1.6;53.25;33.3;7134981.289;729479.615
0;0.83;31.32;37.7;7130433.72;735428.337
0;0.84;50.82;60.5;7135328.683;727727.143
0;1.23;42.9;34.9;7136729.575;729131.774
0;0.66;44.36;67.2;7130082.637;734380.942
0;0.77;21.94;28.5;7136036.337;732633.192
0;1.19;48.13;40.4;7131132.483;731931.373
0;1.12;47.89;42.8;7137434.453;732630.518
0;1.67;46.75;28;7133933.131;732984.2
0;1.16;41.87;36.1;7134288.462;732975.964
0;1;34.01;34;7134983.58;730882.686
0;0.67;31.09;46.4;7132187.065;732286.043
0;1.19;39.28;33;7131836.105;735424.707
0;1.51;48.18;31.9;7137779.743;732630.094
0;1.02;44.86;44;7129731.424;730531.668
0;0.97;21.01;21.7;7132522.897;734385.255
0;0.62;17.97;29;7133230.314;735431.616
0;1.29;50.8;39.4;7134986.681;731229.118
0;0.8;46.98;58.7;7134964.781;733681.325
0;0.93;32.51;35;NA;NA
0;1.01;50.69;50.2;7137085.699;730175.561
0;1.4;42.29;30.2;7134631.513;732630.067
0;1.13;43.17;38.2;7130782.147;730878.533
0;1.32;39.04;29.6;7135331.168;734730.088
0;1.13;41.4;36.6;7133927.866;733329.217
0;1;49.13;49.1;7131486.775;731578.015
0;0.85;39.4;46.4;7135679.207;730532.711
0;0.95;43.19;45.5;7129381.574;730876.914
0;0.8;43.55;54.4;7134635.787;731226.406
0;1.51;36.54;24.2;7133583.721;736483.503
0;1.44;43.72;30.4;7134976.513;732626.1
0;0.96;40.74;42.4;7137784.892;732283.786
0;0.82;28.31;34.5;7136028.994;732273.975
0;1;30.48;30.5;7135678.624;734732.261
0;0.85;28.33;33.3;7134283.302;733329.635
0;1.12;44.01;39.3;7132529.148;736122.245
0;1.32;44.71;33.9;7134632.302;730885.808
0;1.51;51.7;34.2;7133233.194;735083.716
0;1.18;48.94;41.5;7129729.836;731577.961
0;0.79;33.57;42.5;7138134.876;732982.077
0;1.21;42.4;35;7134627.205;728076.956
0;0.95;44.05;46.4;7136035.145;730879.434
0;0.72;55.07;76.5;7136387.285;730877.076
0;0.99;30.82;31.1;7133230.338;736482.569
0;0.86;26.87;31.2;7131485.971;735779.221
